date,ticker,ea,source,reported_date,fiscal_date_ending,reported_eps,estimated_eps,surprise,surprise_percentage,aligned_to_trading_day
2014-10-21,VZ,1,Alpha Vantage EARNINGS,2014-10-21,2014-09-30,0.89,0.91,-0.02,-2.1978,False
2015-01-22,VZ,1,Alpha Vantage EARNINGS,2015-01-22,2014-12-31,0.71,0.71,0.0,0.0,False
2015-04-21,VZ,1,Alpha Vantage EARNINGS,2015-04-21,2015-03-31,1.02,0.95,0.07,7.3684,False
2015-07-21,VZ,1,Alpha Vantage EARNINGS,2015-07-21,2015-06-30,1.04,1.01,0.03,2.9703,False
2015-10-20,VZ,1,Alpha Vantage EARNINGS,2015-10-20,2015-09-30,1.04,1.02,0.02,1.9608,False
2016-01-21,VZ,1,Alpha Vantage EARNINGS,2016-01-21,2015-12-31,0.89,0.88,0.01,1.1364,False
2016-04-21,VZ,1,Alpha Vantage EARNINGS,2016-04-21,2016-03-31,1.06,1.06,0.0,0.0,False
2016-07-26,VZ,1,Alpha Vantage EARNINGS,2016-07-26,2016-06-30,0.94,0.93,0.01,1.0753,False
2016-10-20,VZ,1,Alpha Vantage EARNINGS,2016-10-20,2016-09-30,1.01,0.99,0.02,2.0202,False
2017-01-24,VZ,1,Alpha Vantage EARNINGS,2017-01-24,2016-12-31,0.86,0.89,-0.03,-3.3708,False
2017-04-20,VZ,1,Alpha Vantage EARNINGS,2017-04-20,2017-03-31,0.95,0.96,-0.01,-1.0417,False
2017-07-27,VZ,1,Alpha Vantage EARNINGS,2017-07-27,2017-06-30,0.96,0.96,0.0,0.0,False
2017-10-19,VZ,1,Alpha Vantage EARNINGS,2017-10-19,2017-09-30,0.98,0.97,0.01,1.0309,False
2001-03-15,WMT,1,Alpha Vantage EARNINGS,2001-03-15,2001-01-31,0.45,0.45,0.0,0.0,False
2001-06-15,WMT,1,Alpha Vantage EARNINGS,2001-06-15,2001-04-30,0.31,0.31,0.0,0.0,False
2001-09-18,WMT,1,Alpha Vantage EARNINGS,2001-09-14,2001-07-31,0.37,0.37,0.0,0.0,True
2001-11-13,WMT,1,Alpha Vantage EARNINGS,2001-11-13,2001-10-31,0.33,0.33,0.0,0.0,False
2002-02-19,WMT,1,Alpha Vantage EARNINGS,2002-02-19,2002-01-31,0.15,0.15,0.0,0.0,False
2002-05-14,WMT,1,Alpha Vantage EARNINGS,2002-05-14,2002-04-30,0.12,0.12,0.0,0.0,False
2002-08-13,WMT,1,Alpha Vantage EARNINGS,2002-08-13,2002-07-31,0.15,0.15,0.0,0.0,False
2002-11-13,WMT,1,Alpha Vantage EARNINGS,2002-11-13,2002-10-31,0.14,0.13,0.01,7.6923,False
2003-02-18,WMT,1,Alpha Vantage EARNINGS,2003-02-18,2003-01-31,0.19,0.19,0.0,0.0,False
2003-05-13,WMT,1,Alpha Vantage EARNINGS,2003-05-13,2003-04-30,0.14,0.14,0.0,0.0,False
2003-08-13,WMT,1,Alpha Vantage EARNINGS,2003-08-13,2003-07-31,0.17,0.17,0.0,0.0,False
2003-11-13,WMT,1,Alpha Vantage EARNINGS,2003-11-13,2003-10-31,0.15,0.16,-0.01,-6.25,False
2004-02-19,WMT,1,Alpha Vantage EARNINGS,2004-02-19,2004-01-31,0.21,0.21,0.0,0.0,False
2004-05-13,WMT,1,Alpha Vantage EARNINGS,2004-05-13,2004-04-30,0.17,0.16,0.01,6.25,False
2004-08-12,WMT,1,Alpha Vantage EARNINGS,2004-08-12,2004-07-31,0.21,0.2,0.01,5.0,False
2004-11-16,WMT,1,Alpha Vantage EARNINGS,2004-11-16,2004-10-31,0.18,0.18,0.0,0.0,False
2005-02-17,WMT,1,Alpha Vantage EARNINGS,2005-02-17,2005-01-31,0.25,0.25,0.0,0.0,False
2005-05-12,WMT,1,Alpha Vantage EARNINGS,2005-05-12,2005-04-30,0.18,0.19,-0.01,-5.2632,False
2005-08-16,WMT,1,Alpha Vantage EARNINGS,2005-08-16,2005-07-31,0.22,0.22,0.0,0.0,False
2005-11-14,WMT,1,Alpha Vantage EARNINGS,2005-11-14,2005-10-31,0.2,0.19,0.01,5.2632,False
2006-02-21,WMT,1,Alpha Vantage EARNINGS,2006-02-21,2006-01-31,0.28,0.28,0.0,0.0,False
2006-05-16,WMT,1,Alpha Vantage EARNINGS,2006-05-16,2006-04-30,0.21,0.2,0.01,5.0,False
2006-08-15,WMT,1,Alpha Vantage EARNINGS,2006-08-15,2006-07-31,0.24,0.24,0.0,0.0,False
