dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
PARTIAL_MALL,5,SHAR,rolling,25,2.485048589304595e-08,0.000133611130439,6.26564369090154e-05,1.1334995283231002,1.0074931571546226
PARTIAL_MALL,22,AdaptiveLasso,rolling,25,1.6061584456217678e-08,0.0001145557518653,8.773484741888281e-05,1.7317130846149655,1.4355910334863358
PARTIAL_MALL,22,Bagging,rolling,25,8.787067108808444e-09,8.677420349319257e-05,4.778331150749843e-05,1.0179314578059464,0.8627836797213556
PARTIAL_MALL,22,ElasticNet,rolling,25,1.3649556188588314e-08,0.0001057434638409,8.057311496904038e-05,1.4243376867496602,1.308437495098665
PARTIAL_MALL,22,GradientBoosting,rolling,25,9.891362846989451e-09,9.193671521379832e-05,6.247432569742889e-05,1.0987991105379644,1.0027150498884072
PARTIAL_MALL,22,HAR,rolling,25,1.0905920285605353e-08,9.238927677342089e-05,5.974219531042626e-05,1.0,1.0
PARTIAL_MALL,22,HARQ,rolling,25,1.36252455542229e-08,0.0001068363549622,7.564835761221007e-05,1.505397347735926,1.374533560129268
PARTIAL_MALL,22,HARX,rolling,25,1.4810279267794606e-08,0.0001098193073089,7.75359508347009e-05,1.5493944414166154,1.3545271771226788
PARTIAL_MALL,22,Lasso,rolling,25,1.5583482655155046e-08,0.0001128983445316,8.736594510686171e-05,1.69053081815711,1.433939362568439
PARTIAL_MALL,22,LevHAR,rolling,25,1.5198343231705464e-08,0.0001112835373637,7.881961398991144e-05,1.6166548880612968,1.3609939278391106
PARTIAL_MALL,22,LogHAR,rolling,25,7.253402116298547e-09,7.743452185655632e-05,4.747293052042947e-05,0.737141314682313,0.7444550234578188
PARTIAL_MALL,22,NN1,fixed,25,8.077997567159706e-09,7.899409059686868e-05,4.46610776704153e-05,0.7637165447250297,0.7562962764327938
PARTIAL_MALL,22,NN1_1,fixed,25,7.267393525040942e-09,7.738088009510306e-05,4.57632451561938e-05,0.7688726749935167,0.7174538977635266
PARTIAL_MALL,22,NN2,fixed,25,1.236368007288548e-08,8.881262115987754e-05,4.6726244788268485e-05,0.9233864855430528,0.8131254233423386
PARTIAL_MALL,22,NN2_1,fixed,25,2.1169966578753376e-08,0.0001040805907539,4.767647641708924e-05,2.154223481085147,0.7819499579016047
PARTIAL_MALL,22,NN3,fixed,25,7.203306735649965e-09,7.745712066555178e-05,4.494343487443576e-05,0.7804535598762459,0.6862408379077771
PARTIAL_MALL,22,NN3_1,fixed,25,7.260909062796184e-09,7.787788261300563e-05,4.5260972062758205e-05,0.7889403474171464,0.7198990085518567
PARTIAL_MALL,22,NN4,fixed,25,7.243598992898974e-09,7.775258075596309e-05,4.519882089352414e-05,0.7887091472504575,0.6977325750268871
PARTIAL_MALL,22,NN4_1,fixed,25,7.281473412758974e-09,7.795346033014011e-05,4.554021150413398e-05,0.7915661677545891,0.715241185770621
PARTIAL_MALL,22,PostLasso,rolling,25,1.5551630805590057e-08,0.0001121554425345,8.027340673840158e-05,1.6447156184715288,1.3744157818401213
PARTIAL_MALL,22,RandomForest,rolling,25,7.760126715628754e-09,8.081894488006298e-05,4.712543551538012e-05,0.8189171651288356,0.8046280203647622
PARTIAL_MALL,22,Ridge,rolling,25,1.575032663540648e-08,0.0001129741547798,8.113303064178517e-05,1.6506829633105866,1.4360815038777734
PARTIAL_MALL,22,SHAR,rolling,25,1.498078129790926e-08,0.0001103504456318,7.745359237187764e-05,1.5587902559766929,1.3685007464200254
