dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
PARTIAL_MALL,1,NN1_1,fixed,3,4.4348923225120804e-08,0.0002079197916413529,9.57751358361702e-05,1.0379905373650036,1.0816771289740155
PARTIAL_MALL,1,NN2,fixed,3,4.332888453401249e-08,0.00020536980454490949,0.00010235503023090586,1.0117167282548951,1.0511141292747854
PARTIAL_MALL,1,NN2_1,fixed,3,4.215976805899738e-08,0.0002030282960253923,9.308024877543283e-05,0.9917621692458418,1.0145204444747726
PARTIAL_MALL,1,NN3,fixed,3,4.458840925087523e-08,0.00020831719071330395,0.00010774626466130036,1.0413621233507735,1.0920907731620988
PARTIAL_MALL,1,NN3_1,fixed,3,4.2560804282626555e-08,0.000203750068906616,9.703086467714126e-05,0.997290487449718,1.0382328971483117
PARTIAL_MALL,1,NN4,fixed,3,4.507341515417519e-08,0.00020959616005476137,0.00011316215601044477,1.0552554220852068,1.0929692671270277
PARTIAL_MALL,1,NN4_1,fixed,3,4.286129853995317e-08,0.0002047011651164413,0.00010233264606164003,1.0080983467176623,1.0306260537944028
PARTIAL_MALL,1,PostLasso,rolling,3,4.4656914814337065e-08,0.00020912128441085982,8.137414240358594e-05,1.0565570397644906,1.0187343196974228
PARTIAL_MALL,1,RandomForest,rolling,3,3.7542903545606565e-08,0.00019226920710874542,6.103471919573865e-05,0.8955094054832401,0.9054342835567423
PARTIAL_MALL,1,Ridge,rolling,3,4.3758112197297985e-08,0.00020714206304653276,8.258821210872248e-05,1.0402910251944355,0.9646858088903283
PARTIAL_MALL,1,SHAR,rolling,3,4.2573176367190414e-08,0.00020413721853902378,7.89677569587326e-05,1.0059416577891769,0.9796488729185395
PARTIAL_MALL,5,AdaptiveLasso,rolling,3,2.6812062538916062e-08,0.00016141356719715896,9.600952623557464e-05,1.3953044420839147,1.124735645145358
PARTIAL_MALL,5,Bagging,rolling,3,1.9846771301204776e-08,0.00014004090269837408,6.134235784037969e-05,1.046694322684883,1.0170248230596397
PARTIAL_MALL,5,ElasticNet,rolling,3,2.3383889405070456e-08,0.00015032648631263878,9.492095968652162e-05,1.1979480205536406,1.0510967956923787
PARTIAL_MALL,5,GradientBoosting,rolling,3,2.2159657828806874e-08,0.00014779902957294178,7.443115606034995e-05,1.1708255615261904,1.0912641425748244
PARTIAL_MALL,5,HAR,rolling,3,1.9677875156211056e-08,0.0001386717506974334,7.246288406442303e-05,1.0,1.0
PARTIAL_MALL,5,HARQ,rolling,3,2.4321415804262723e-08,0.00015359834666677245,8.307878514453543e-05,1.2661097212831767,1.01247085965643
PARTIAL_MALL,5,HARX,rolling,3,2.566844705323198e-08,0.0001573420930051223,8.883153708107474e-05,1.346702892483669,1.0053764555896243
